Timestamp,name, Standard, Superior, Junior Suite, Suite
2023-04-19 11:19:38,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-20 10:34:46,Four Seasons Geneva,"
€ 932
","
€ 1,033
","
€ 1,587
","
€ 3,887
"
2023-04-19 10:13:31,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-19 09:47:23,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-19 10:40:52,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-19 09:49:24,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-20 14:55:46,Four Seasons Geneva,"
€ 937
","
€ 1,033
","
€ 1,587
","
€ 3,887
"
2023-04-20 14:49:53,Four Seasons Geneva,"
€ 937
","
€ 1,033
","
€ 1,587
","
€ 3,887
"
2023-04-19 10:17:26,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-19 15:27:30,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,628
","
€ 3,564
"
2023-04-18 16:37:16,Four Seasons Geneva,"
€ 1,155
","
€ 1,369
","
€ 1,751
","
€ 3,861
"
2023-04-18 16:21:00,Four Seasons Geneva,"
€ 1,155
","
€ 1,369
","
€ 1,751
","
€ 3,861
"
2023-04-20 13:53:52,Four Seasons Geneva,"
€ 937
","
€ 1,033
","
€ 1,587
","
€ 3,887
"
2023-04-19 10:11:12,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-19 10:08:58,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-19 09:54:59,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-20 14:48:46,Four Seasons Geneva,"
€ 937
","
€ 1,033
","
€ 1,587
","
€ 3,887
"
2023-04-19 09:50:14,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-19 10:05:35,Four Seasons Geneva,"
€ 1,105
",0,"
€ 1,638
","
€ 3,564
"
2023-04-18 16:41:43,Four Seasons Geneva,"
€ 1,155
","
€ 1,369
","
€ 1,751
","
€ 3,861
"
2023-04-20 13:54:41,Four Seasons Geneva,"
€ 937
","
€ 1,033
","
€ 1,587
","
€ 3,887
"
2023-04-20 14:41:21,Four Seasons Geneva,"
€ 937
","
€ 1,033
","
€ 1,587
","
€ 3,887
"
2023-04-20 10:34:46,Hotel d'Angleterre,"
€ 617
","
€ 901
",0,0
2023-04-20 14:55:46,Hotel d'Angleterre,"
€ 617
","
€ 901
",0,0
2023-04-19 15:27:30,Hotel d'Angleterre,0,"
€ 1,075
",0,0
2023-04-18 16:41:43,Hotel d'Angleterre,"
€ 721
","
€ 1,078
","
€ 2,251
","
€ 4,799
"
2023-04-20 14:41:21,Hotel d'Angleterre,"
€ 617
","
€ 901
",0,0
2023-04-19 10:05:35,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-19 15:25:36,Hotel d'Angleterre,0,"
€ 1,075
",0,0
2023-04-19 15:29:13,Hotel d'Angleterre,0,"
€ 1,075
",0,0
2023-04-19 09:47:23,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-19 11:19:38,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-18 16:21:00,Hotel d'Angleterre,"
€ 721
","
€ 1,078
","
€ 2,251
","
€ 4,799
"
2023-04-20 14:49:53,Hotel d'Angleterre,"
€ 617
","
€ 901
",0,0
2023-04-19 10:08:58,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-19 09:49:24,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-20 14:48:46,Hotel d'Angleterre,"
€ 617
","
€ 901
",0,0
2023-04-19 10:11:12,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-19 10:17:26,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-20 14:52:05,Hotel d'Angleterre,"
€ 617
","
€ 901
",0,0
2023-04-19 09:54:59,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-18 16:37:16,Hotel d'Angleterre,"
€ 721
","
€ 1,078
","
€ 2,251
","
€ 4,799
"
2023-04-19 09:50:14,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-19 10:40:52,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-20 13:54:41,Hotel d'Angleterre,"
€ 617
","
€ 901
",0,0
2023-04-20 13:53:52,Hotel d'Angleterre,"
€ 617
","
€ 901
",0,0
2023-04-19 10:13:31,Hotel d'Angleterre,0,"
€ 1,075
","
€ 2,243
",0
2023-04-20 10:34:46,Intercontinental Geneve,"
€ 470
","
€ 592
","
€ 774
","
€ 7,072
"
2023-04-20 14:41:21,Intercontinental Geneve,"
€ 470
","
€ 592
","
€ 774
","
€ 7,072
"
2023-04-20 14:49:53,Intercontinental Geneve,"
€ 470
","
€ 592
","
€ 774
","
€ 7,072
"
2023-04-19 15:29:13,Intercontinental Geneve,"
€ 541
","
€ 663
","
€ 1,151
","
€ 7,146
"
2023-04-20 14:55:46,Intercontinental Geneve,"
€ 470
","
€ 592
","
€ 774
","
€ 7,072
"
2023-04-20 14:48:46,Intercontinental Geneve,"
€ 470
","
€ 592
","
€ 774
","
€ 7,072
"
2023-04-20 13:54:41,Intercontinental Geneve,"
€ 470
","
€ 592
","
€ 774
","
€ 7,072
"
2023-04-20 13:53:52,Intercontinental Geneve,"
€ 470
","
€ 592
","
€ 774
","
€ 7,072
"
2023-04-20 14:52:05,Intercontinental Geneve,"
€ 470
","
€ 592
","
€ 774
","
€ 7,072
"
2023-04-19 10:40:52,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-19 15:27:30,Intercontinental Geneve,"
€ 541
","
€ 663
","
€ 1,151
","
€ 7,146
"
2023-04-18 16:21:00,Intercontinental Geneve,"
€ 624
","
€ 747
","
€ 1,236
","
€ 7,251
"
2023-04-18 16:37:16,Intercontinental Geneve,"
€ 624
","
€ 747
","
€ 1,236
","
€ 7,251
"
2023-04-18 16:41:43,Intercontinental Geneve,"
€ 624
","
€ 747
","
€ 1,236
","
€ 7,251
"
2023-04-19 09:47:23,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-19 09:49:24,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-19 09:50:14,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-19 09:54:59,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
